ID,Item title,Image URL,Final URL,Item Description,Price,Sale Price
2226,Искусственная елка СОФИЯ ЗАСНЕЖЕННАЯ  06 м Ели PENERI Е060БК,http://www.morozko-shop.ru/files/store2226.jpg,http://www.morozko-shop.ru/goods.php?id=2226,Очаровательные сосенки с заснеженной хвоей  принесут в дом уют и ощущение новогоднего праздника.Заснеженные,1190 RUR
996,Искусственная елка СОФИЯ БЕЛАЯ 09 м Ели PENERI E090б,http://www.morozko-shop.ru/files/store996.jpg,http://www.morozko-shop.ru/goods.php?id=996,Белоснежные нарядные сосенки принесут в дом уют и ощущение новогоднего праздника. Эти белоснежные сосенки н?,1030 RUR
3548,Искусственная елка СОФИЯ серебряная  09 м Ели PENERI E090S,http://www.morozko-shop.ru/files/store3548.jpg,http://www.morozko-shop.ru/goods.php?id=3548,Изящные невысокие сосенки принесут в дом уют и ощущение новогоднего праздника.Эти сосенки необыкновенно при,1030 RUR
3549,Искусственная елка СОФИЯ золотая  09 м Ели PENERI E090Z,http://www.morozko-shop.ru/files/store3549.jpg,http://www.morozko-shop.ru/goods.php?id=3549,Изящные невысокие сосенки принесут в дом уют и ощущение новогоднего праздника.Эти сосенки необыкновенно при,1030 RUR
1517,Ель искусственная ДЕКОРАТИВНАЯ белая 90 см Царь Елка MАГ-90б,http://www.morozko-shop.ru/files/store1517.jpg,http://www.morozko-shop.ru/goods.php?id=1517,Эти белоснежные настольные новогодние сосенки хороши и с украшениями и без них. Праздничная белизна декорат,1110 RUR
2410,Искусственная елка НАСТЕННАЯ 09 м Ели PENERI Е1909,http://www.morozko-shop.ru/files/store2410.jpg,http://www.morozko-shop.ru/goods.php?id=2410,Настенная елочка - незабываемый акцент новогоднего интерьера.
 
Название этой очаровательной елочки отражае?,1150 RUR
73810,Искусственная елка БЕЛОСНЕЖКА 90см KAEMINGK 682563,http://www.morozko-shop.ru/files/store73810.jpg,http://www.morozko-shop.ru/goods.php?id=73810,Пушистая елочка чистейшего белого цвета - настоящая сказочная принцесса! Представьте как фантастически она ,1100 RUR
3525,Искусственная елка СКАНДИНАВСКАЯ 10 м MOROZCO 2210,http://www.morozko-shop.ru/files/store3525.jpg,http://www.morozko-shop.ru/goods.php?id=3525,Северная стройная сосна с классическим вытянутым силуэтом!Приятный сочный зеленый цвет великолепная имита?,1190 RUR
154789,Искусственная елка СКАНДИНАВСКАЯ белая 10 м MOROZCO 2810-morozco,http://www.morozko-shop.ru/files/store154789.jpg,http://www.morozko-shop.ru/goods.php?id=154789,Белоснежная стройная сосна с классическим вытянутым силуэтом!Белоснежная красавица - елка с очень пушистой ?,1190 RUR
3959,Искусственная елка РОЖДЕСТВЕНСКАЯ 10 м MOROZCO 0810,http://www.morozko-shop.ru/files/store3959.jpg,http://www.morozko-shop.ru/goods.php?id=3959,Настоящая красавица леса. Нарядная пушистая очень густая крона с большим диаметром нижнего яруса ветвей и о,1540 RUR
148164,Ель искусственная АЛТАЙСКАЯ 10 м Царь Елка АЛ-100,http://www.morozko-shop.ru/files/store148164.jpg,http://www.morozko-shop.ru/goods.php?id=148164,Изумительная  новогодняя сосенка с классическим силуэтом густой кроной пушистыми веточками с длинной хвое?,1740 RUR
1,Искусственная елка СИБИРСКАЯ 12 м MOROZCO 0112,http://www.morozko-shop.ru/files/store1.jpg,http://www.morozko-shop.ru/goods.php?id=1,Густая крона хвоя насыщенного цвета стройный вытянутый силуэт традиционной формы.Ель "Сибирская" бесспорны,1190 RUR
12,Искусственная елка ТАЁЖНАЯ 12 м MOROZCO 0212,http://www.morozko-shop.ru/files/store12.jpg,http://www.morozko-shop.ru/goods.php?id=12,Легкость и воздушность конструкции стройный удлиненный силуэт ели.Эту модель отличает от остальных елей в д,1190 RUR
16,Искусственная елка МОСКОВСКАЯ 12 м MOROZCO 0312,http://www.morozko-shop.ru/files/store16.jpg,http://www.morozko-shop.ru/goods.php?id=16,Сочность и насыщенность окраски создают ощущение свежести.Короткая упругая хвоя "ежиком" на отростках небол?,1220 RUR
